Имя
Автотранспортное предприятие МСД
Автотранспортный цех МЖД
Административно-хозяйственный отдел
Администрация
Администрация (помощники) МСД
Администрация МСД
Администрация продаж
Аппарат управления МЖД
Бухгалтерия МЖД
Бухгалтерия МСД
Группа торгового маркетинга
Департамент логистики и внешнеэкономической деятельности МЖД
Департамент логистики и внешнеэкономической деятельности МСД
Департамент маркетинга МСД
Департамент обеспечения основным сырьем
Департамент сбыта готовой продукции. Управление сбыта масла МСД
Департамент сбыта готовой продукции. Управление сбыта шрота МСД
Департамент управления сбыта готовой продукции на экспорт МСД
Департамент экономики масложирового направления
Департамент экономики масложирового направления  (Аппарат управления)
Департамент экономики маслосырьевого направления
Дирекция ИТ
Дирекция ИТ. Отдел 1С
Дирекция ИТ. Отдел автоматизации бизнес-процессов
Дирекция ИТ. Отдел АСУ ТП
Дирекция ИТ. Отдел технической поддержки
Дирекция маркетинга
Дирекция по аналитической работе 
Дирекция по развитию бизнеса
Железнодорожный цех МСД
Канцелярия МСД
Клиентский сервис
Котельная
Лаборатория Р.Т.Х. МСД
ОВКиР МЖД
Отдел автоматизации и электроснабжения МСД
Отдел безопасности дорожного движения (АТП ОБДД)
Отдел главного метролога МСД
Отдел главного механика МЖД
Отдел главного механика МСД
Отдел главного технолога МСД
Отдел главного энергетика МСД
Отдел дистрибьюции
Отдел дистрибьюции. Дивизион Восток
Отдел дистрибьюции. Дивизион Запад
Отдел дистрибьюции. Дивизион Север-Юг
Отдел дистрибьюции. Дивизион Центр
Отдел дистрибьюции. Регион Волга
Отдел дистрибьюции. Регион Северо-Запад
Отдел дистрибьюции. Регион Сибирь и Дальний Восток
Отдел дистрибьюции. Регион Юг
Отдел дистрибьюции. Регионы Урал
Отдел договоров
Отдел договоров МЖД
Отдел кадров МЖД
Отдел кадров МСД
Отдел кадрового администрирования
Отдел капитального строительства МЖД
Отдел капитального строительства МСД
Отдел организационного развития продаж
Отдел охраны труда. гражданской обороны и чрезвычайной ситуации
Отдел охраны труда. промышленной безопасности и охраны окружающей среды МСД
Отдел планирования и анализа цепей поставок
Отдел по внутреннему аудиту и контроллингу
Отдел по промышленной безопасности МЖД
Отдел по работе с ключевыми клиентами
Отдел по работе с ключевыми клиентами. СОХ
Отдел по работе с прямыми сетями
Отдел по развитию представленности
Отдел по регламентации и стандартизации бизнес-процессов
Отдел сертификации и стандартизации
Отдел технической комплектации и развития МЖД
Отдел технической комплектации и развития МСД
Отдел труда и заработной платы МЖД
Отдел труда и заработной платы МСД
Отдел экономической безопасности МЖД
Приемная МСД (Невмержицкая Е.К.)
Производственно-диспетчерский отдел МЖД
Производственный отдел МСД
Производство МЖД
Ремонтно-монтажный цех МСД
Сбыт шрота по РТ
Склад готовой продукции №1
Склад готовой продукции №2
Склад ГСМ и запасных частей
Склад сырья и тары №2
Служба безопасности МСД
Служба безопасности. Отдел видеонаблюдения МСД
Служба безопасности. Отдел контроля приемки сырья МСД
Служба безопасности. Отдел охраны и режима МСД
Служба безопасности. Отдел регионального контроля МСД
Служба безопасности. Отдел экономической безопасности МСД
Служба внутреннего контроля
Служба главного инженера МЖД
Служба главного инженера МСД
Служба главного технолога МЖД
Служба главного энергетика МЖД
Служба качества
Служба материально-технического снабжения МЖД
Служба по работе с сетевыми клиентами канала дистрибьюция
Служба поддержки дистрибьюции
Служба складской логистики
Управление продаж
Участок обслуживания напольного транспорта МЖД
Физико-химическая лаборатория МЖД
Финансовый отдел МЖД
Финансовый отдел МСД
Холодильно-компрессорный цех
Холодильно-компрессорный цех МЖД
Центр управления планирования и движения автомобилей
Цех автоматизации и электроснабжения
Цех готовой продукции МСД
Цех майонеза. кетчупа и соусов
Цех пароводяного хозяйства МСД
Цех пластмассовых изделий
Цех приемки. очистки. сушки и хранения маслосемян
Цех рафинации жиров
Цех розлива растительных масел
Цех соусов. кетчупа и майонеза
Цех форпрессования. экстракции. гранулирования и фасовки шрота
ЦФиЭР - Общий участок
Экспортный отдел продаж
Энергоцентр
Юридический отдел
Юридический отдел МЖД
